web-scraper-order,web-scraper-start-url,links,links-href,Name,Phone,Address,Website,Website-href,Email,Email-href,Pages,Pages-href
"1649719722-50","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","National General Insurance","https://www.yellowpages.com/new-york-ny/mip/national-general-insurance-483749660","National General Insurance","(212) 380-9500","59 Maiden LnNew York, NY 10038","Visit Website","http://www.nationalgeneral.com/","Email Business","mailto:kristin.keegan@ngic.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719769-56","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","M L W Services Inc","https://www.yellowpages.com/new-york-ny/mip/m-l-w-services-inc-497620153","M L W Services Inc","(212) 797-9600","100 William StNew York, NY 10038","Visit Website","http://www.bollingerinsurance.com/","Email Business","mailto:rwhutchi@mlws.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719561-34","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Vinar Jacqueline","https://www.yellowpages.com/new-york-ny/mip/vinar-jacqueline-479707629","Vinar Jacqueline","(212) 440-3000","40 Wall St Fl 10New York, NY 10005","null","null","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719736-52","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","MetLife","https://www.yellowpages.com/new-york-ny/mip/metlife-456224346","MetLife","(212) 385-2021","11 E BroadwayNew York, NY 10038","Visit Website","http://www.metlife.com/","Email Business","mailto:cscontact@metlifeservice.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720214-95","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Aditya Inc","https://www.yellowpages.com/new-york-ny/mip/aditya-inc-473985995","Aditya Inc","(212) 440-7070","125 Broad StNew York, NY 10004","Visit Website","http://www.cna.com/","Email Business","mailto:rpandya@ascap.com","2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=2"
"1649719863-66","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Carl Ferraro III - State Farm Insurance Agent","https://www.yellowpages.com/brooklyn-ny/mip/carl-ferraro-iii-state-farm-insurance-agent-559446144","Carl Ferraro III - State Farm Insurance Agent","(718) 576-3710","134 N 4th St Ste 2165Brooklyn, NY 11249","Visit Website","https://www.insurebklyn.com/","Email Business","mailto:carl@carljferraro.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720121-89","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Financial Guaranty Ins Co","https://www.yellowpages.com/new-york-ny/mip/financial-guaranty-ins-co-2080965","Financial Guaranty Ins Co","(212) 312-3000","115 BroadwayNew York, NY 10006","Visit Website","http://fgic.com/","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719662-43","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Allianz Global Corporate & Specialty","https://www.yellowpages.com/new-york-ny/mip/allianz-global-corporate-specialty-7235466","Allianz Global Corporate & Specialty","(212) 586-7733","28 Liberty St Fl 37New York, NY 10005","Visit Website","http://www.newyorklife.com/","Email Business","mailto:gloria.goldbranson@agcs.allianz.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720039-80","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Risk & Insurance Management Society Inc","https://www.yellowpages.com/new-york-ny/mip/risk-insurance-management-society-inc-455655927","Risk & Insurance Management Society Inc","(212) 286-9292","1407 BroadwayNew York, NY 10018","Visit Website","http://www.rims.org/","Email Business","mailto:ted.donovan@rims.org","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719588-37","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Seneca Insurace Campany Incorporated","https://www.yellowpages.com/new-york-ny/mip/seneca-insurace-campany-incorporated-468287164","Seneca Insurace Campany Incorporated","(212) 344-3000","160 Water St Fl 16New York, NY 10038","Visit Website","http://www.cfins.com/seneca","Email Business","mailto:investor_relations@transre.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719550-32","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Transatlantic Reinsurance Company","https://www.yellowpages.com/new-york-ny/mip/transatlantic-reinsurance-company-487796996","Transatlantic Reinsurance Company","(212) 365-2200","80 Pine St Fl 9New York, NY 10005","Visit Website","http://www.transre.com/","Email Business","mailto:mmcglockin@transre.com","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649719857-65","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Topper Brokerage Inc","https://www.yellowpages.com/new-york-ny/mip/topper-brokerage-inc-459499097","Topper Brokerage Inc","(212) 619-0889","321 BroadwayNew York, NY 10007","Visit Website","http://www.tbibonds.com/","Email Business","mailto:dsmith@tbibonds.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720198-94","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Assurant Inc","https://www.yellowpages.com/new-york-ny/mip/assurant-inc-473221215","Assurant Inc","(212) 859-7000","1 Chase Manhattan Plz Fl 41New York, NY 10005","Visit Website","http://www.assurant.com/","Email Business","mailto:lance.wilson@assurant.com","2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=2"
"1649719576-36","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Crum & Forster Insurance","https://www.yellowpages.com/new-york-ny/mip/crum-forster-insurance-471041856","Crum & Forster Insurance","(212) 277-1660","160 Water St Fl 16New York, NY 10038","Visit Website","http://www.cfins.com/","null","null","4","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=4"
"1649720059-82","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Farmers Insurance - Stewart Sytner","https://www.yellowpages.com/new-york-ny/mip/farmers-insurance-stewart-sytner-551143432","Farmers Insurance - Stewart Sytner","(646) 850-3900","249 W 34th St Fl 3New York, NY 10001","Visit Website","https://agents.farmers.com/ny/new-york/stewart-sytner?SourceID=AMPALFYXAG&utm_source=Powerlistings&utm_medium=Local&y_source=1_OTUwMTQyNy01NTMtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","Email Business","mailto:ssytner@farmersagent.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720129-90","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Sun Ray Co","https://www.yellowpages.com/new-york-ny/mip/sun-ray-co-467619679","Sun Ray Co","(212) 732-5280","7 Chatham Sq Rm 601New York, NY 10038","Visit Website","https://sunraycorporation.net/","Email Business","mailto:sunrayinsbroker@yahoo.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720176-93","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","W K Webster & Co Ltd","https://www.yellowpages.com/new-york-ny/mip/w-k-webster-co-ltd-19298767","W K Webster & Co Ltd","(212) 269-8220","80 Maiden Ln Rm 302New York, NY 10038","Visit Website","http://www.wkwebster.com/","Email Business","mailto:sclark@wkwebster.com","2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=2"
"1649719423-17","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Qbe Insurance","https://www.yellowpages.com/new-york-ny/mip/qbe-insurance-540644824","Qbe Insurance","(212) 422-1212","55 Water StNew York, NY 10041","Visit Website","https://www.qbe.com/us","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719844-63","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Nationwide Insurance","https://www.yellowpages.com/new-york-ny/mip/nationwide-insurance-470109149","Nationwide Insurance","(212) 513-7126","250 Greenwich StNew York, NY 10007","Visit Website","http://www.nationwide.com/","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719885-69","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Jari Santiago - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/jari-santiago-state-farm-insurance-agent-524776738","Jari Santiago - State Farm Insurance Agent","(646) 478-8484","62 Sherman AveNew York, NY 10040","Visit Website","http://www.agentjari.com/","Email Business","mailto:jari@mydutchessagent.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649720155-92","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Summit Coverages Ltd","https://www.yellowpages.com/brooklyn-ny/mip/summit-coverages-ltd-503245473","Summit Coverages Ltd","(718) 467-8733","365 Bridge St Apt 9-proBrooklyn, NY 11201","Visit Website","http://www.summitcoverages.com/","null","null","2","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=2"
"1649719838-62","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","MassMutual New York City - Manhattan","https://www.yellowpages.com/new-york-ny/mip/massmutual-new-york-city-manhattan-529755607","MassMutual New York City - Manhattan","(212) 515-4700","2 Mott St 9th FlNew York, NY 10013","Visit Website","http://www.greaterhudson.massmutual.com/?y_source=1_mzqwodi0ms01ntmtbg9jyxrpb24ud2vic2l0zq%3d%3d","null","null","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
"1649719365-10","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Allstate Printing & Packaging","https://www.yellowpages.com/new-york-ny/mip/allstate-printing-packaging-463043826","Allstate Printing & Packaging","(212) 462-4562","1133 BroadwayNew York, NY 10010","Visit Website","http://www.allstateprint.com/","Email Business","mailto:zenithweb@aol.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719398-14","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Gaston & Associates Inc","https://www.yellowpages.com/new-york-ny/mip/gaston-associates-inc-23095474","Gaston & Associates Inc","(914) 924-3546","100 Bedford StNew York, NY 10014","Visit Website","https://www.bbrown.com/?doing_wp_cron=1542933066.8301110267639160156250","Email Business","mailto:cnydell@gastonassoc.com","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719491-25","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Nationwide Insurance","https://www.yellowpages.com/new-york-ny/mip/nationwide-insurance-527815219","Nationwide Insurance","(212) 568-4291","42 BroadwayNew York, NY 10004","Visit Website","http://www.nationwide.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719472-22","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Bernard Fleischer & Son Inc","https://www.yellowpages.com/new-york-ny/mip/bernard-fleischer-son-inc-479802018","Bernard Fleischer & Son Inc","(212) 566-1881","29 BroadwayNew York, NY 10006","Visit Website","http://www.bfbond.com/","null","null","5","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=5"
"1649719894-70","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New+York%2C+NY","Jewelz Santiago - State Farm Insurance Agent","https://www.yellowpages.com/new-york-ny/mip/jewelz-santiago-state-farm-insurance-agent-480169033","Jewelz Santiago - State Farm Insurance Agent","(646) 524-7484","3657 BroadwayNew York, NY 10031","Visit Website","http://www.agentjewelz.com/","Email Business","mailto:jewelz@agentjewelz.com","3","https://www.yellowpages.com/search?search_terms=insurance&geo_location_terms=New%20York%2C%20NY&page=3"
